stock_no,product_size,profit,product_type,weight,product_name
3623,0.45,533.24,food,10.66,roll
3709,0.45,124.0,food,18.99,beef
4500,0.45,648.25,furniture,14.54,shelves
4559,0.45,140.77,furniture,14.06,press
5804,0.45,472.49,furniture,11.66,cot
7367,0.45,90.78,food,14.75,wrap
8099,0.45,546.3,food,0.74,yoghurt
8989,0.45,105.53,food,16.73,bread
9364,0.45,367.81,clothing,3.9,skirt
9470,0.45,488.55,food,5.8,whey
9769,0.45,839.72,food,2.68,wrap
657,0.46,854.43,furniture,0.73,dining table
1564,0.46,136.87,furniture,11.78,cot
1567,0.46,115.33,food,5.82,ice cream
1595,0.46,553.18,clothing,11.25,polo
1892,0.46,221.52,clothing,15.18,polo
5615,0.46,196.0,food,13.98,roll
6875,0.46,133.18,food,5.45,chicken
8190,0.46,642.67,furniture,5.55,dining table
8810,0.46,536.76,clothing,19.44,underwear
475,0.47,385.0,furniture,17.71,chair
1439,0.47,562.35,clothing,14.79,skirt
3308,0.47,858.36,clothing,15.89,tie
4684,0.47,79.04,furniture,11.43,press
6529,0.47,563.16,clothing,12.79,tie
7076,0.47,626.27,furniture,12.3,cot
7311,0.47,340.96,food,17.39,noodles
8207,0.47,450.51,clothing,8.35,shirt
8272,0.47,888.48,clothing,14.07,dress
9273,0.47,297.13,furniture,6.78,cot
9528,0.47,463.67,furniture,2.04,cot
9782,0.47,662.92,furniture,12.88,shelves
1641,0.48,880.62,furniture,14.3,dining table
2195,0.48,780.98,clothing,14.32,jeans
2562,0.48,644.07,clothing,8.89,t-shirt
2739,0.48,509.57,furniture,5.12,desk
4908,0.48,231.92,furniture,2.1,chair
5811,0.48,986.08,food,5.03,whey
5850,0.48,523.55,furniture,10.85,bed
7668,0.48,808.55,furniture,10.56,desk
8346,0.48,795.02,clothing,2.4,trousers
9363,0.48,297.0,furniture,5.25,shelves
2165,0.49,675.31,furniture,2.67,shelves
2243,0.49,170.83,furniture,19.04,press
2769,0.49,133.08,clothing,5.09,trousers
4257,0.49,980.46,clothing,0.15,underwear
4482,0.49,686.91,clothing,17.65,underwear
4996,0.49,783.7,furniture,16.19,press
5036,0.49,279.33,food,5.28,quinoa
5391,0.49,208.93,furniture,12.26,press
6035,0.49,880.25,clothing,14.24,shirt
6338,0.49,666.5,furniture,0.9,press
6659,0.49,117.02,clothing,15.54,shirt
6885,0.49,127.23,clothing,16.58,t-shirt
7758,0.49,669.84,food,4.42,wrap
8049,0.49,790.59,food,10.87,beef
9444,0.49,341.45,furniture,9.83,chair
1947,0.5,751.91,food,1.98,bread
2025,0.5,215.71,food,10.0,yoghurt
7436,0.5,781.45,furniture,3.7,cot
8066,0.5,749.21,food,4.6,beef
8204,0.5,729.38,furniture,8.62,press
9050,0.5,605.78,furniture,5.44,shelves
910,0.51,576.43,food,7.62,yoghurt
2191,0.51,9.56,clothing,15.33,polo
5197,0.51,457.89,furniture,17.18,cot
5216,0.51,958.51,food,4.38,roll
6461,0.51,691.14,furniture,19.81,cot
6736,0.51,499.1,clothing,18.36,socks
7099,0.51,41.6,clothing,5.17,socks
7691,0.51,901.59,clothing,13.9,trousers
8126,0.51,541.43,clothing,8.78,polo
9256,0.51,683.15,furniture,7.12,bed
9962,0.51,880.98,furniture,5.32,sofa
624,0.52,968.05,clothing,1.01,tie
974,0.52,791.16,furniture,13.1,bed
1250,0.52,847.88,food,6.23,yoghurt
1475,0.52,416.87,furniture,6.44,cot
1957,0.52,62.41,furniture,12.75,desk
2072,0.52,257.28,furniture,17.85,dining table
2121,0.52,343.02,food,5.74,roll
2722,0.52,238.05,food,11.63,bread
3087,0.52,434.44,clothing,0.95,socks
4732,0.52,766.03,clothing,9.48,underwear
5862,0.52,256.95,furniture,10.28,bed
5990,0.52,301.72,furniture,0.54,shelves
6530,0.52,713.16,furniture,17.55,dining table
8020,0.52,141.99,clothing,16.94,t-shirt
8990,0.52,573.38,food,8.4,sauce
9368,0.52,852.12,clothing,17.58,dress
9607,0.52,360.16,furniture,4.28,dining table
742,0.53,365.19,furniture,9.32,cot
947,0.53,869.28,food,14.72,beef
1584,0.53,75.22,food,12.94,roll
5336,0.53,204.95,clothing,11.67,skirt
6844,0.53,654.37,clothing,2.94,underwear
7120,0.53,954.57,food,3.51,roll
7248,0.53,100.39,furniture,16.78,chair
8706,0.53,322.96,clothing,19.59,trousers
2590,0.54,378.21,clothing,17.76,tie
2768,0.54,975.35,food,12.89,quinoa
3830,0.54,35.89,clothing,9.39,socks
4623,0.54,457.15,clothing,7.63,socks
4669,0.54,873.71,furniture,8.37,desk
5432,0.54,991.58,food,13.12,beef
5723,0.54,599.42,food,12.55,quinoa
6117,0.54,856.47,clothing,4.45,trousers
6219,0.54,480.67,clothing,10.51,tie
8373,0.54,34.97,food,13.7,roll
9228,0.54,97.66,furniture,18.34,chair
9617,0.54,496.06,furniture,13.07,desk
1529,0.55,175.11,furniture,1.39,press
2860,0.55,499.47,clothing,9.68,shirt
2883,0.55,466.76,clothing,0.62,shirt
3225,0.55,852.8,furniture,9.82,dining table
3470,0.55,870.8,furniture,9.17,sofa
4230,0.55,556.0,furniture,0.95,sofa
5517,0.55,297.85,clothing,15.44,t-shirt
6186,0.55,979.79,clothing,3.92,shirt
6671,0.55,453.69,food,17.13,noodles
7275,0.55,673.97,furniture,15.71,chair
8782,0.55,192.75,furniture,18.05,dining table
8870,0.55,732.89,clothing,13.75,tie
9447,0.55,240.54,clothing,3.25,trousers
9990,0.55,586.24,clothing,9.33,tie
234,0.56,538.07,clothing,3.75,dress
648,0.56,78.61,clothing,0.59,skirt
699,0.56,218.85,clothing,9.46,t-shirt
1285,0.56,213.68,clothing,0.63,underwear
1555,0.56,343.13,clothing,13.92,tie
2375,0.56,685.59,furniture,18.06,desk
2610,0.56,699.95,food,1.16,noodles
2629,0.56,82.89,food,0.71,roll
3228,0.56,196.86,clothing,1.41,skirt
4401,0.56,921.0,furniture,5.65,sofa
6820,0.56,794.79,furniture,16.14,dining table
1416,0.57,949.84,furniture,0.24,chair
1457,0.57,691.82,clothing,15.8,underwear
1489,0.57,613.96,clothing,16.5,socks
2493,0.57,373.44,clothing,3.32,polo
4033,0.57,391.94,food,10.01,noodles
5289,0.57,768.47,furniture,18.82,cot
5396,0.57,925.7,furniture,12.81,desk
5741,0.57,684.73,furniture,0.08,cot
7216,0.57,853.45,clothing,18.6,socks
7577,0.57,153.65,clothing,11.69,underwear
8611,0.57,405.86,food,4.17,bread
8903,0.57,525.74,clothing,14.66,shirt
1333,0.58,74.14,food,14.76,chicken
1719,0.58,216.9,food,10.53,beef
2322,0.58,910.02,clothing,0.67,socks
2501,0.58,37.4,clothing,3.02,underwear
3305,0.58,816.01,food,5.22,yoghurt
3528,0.58,105.21,food,9.46,bread
5223,0.58,605.96,food,2.56,wrap
6181,0.58,248.72,furniture,5.15,dining table
7623,0.58,613.25,clothing,5.87,shirt
7764,0.58,363.57,food,14.4,bread
8789,0.58,178.68,clothing,14.66,shirt
9276,0.58,974.69,food,8.04,ice cream
3973,0.59,116.92,food,9.25,beef
8197,0.59,519.37,food,4.71,roll
8714,0.59,213.4,furniture,0.15,desk
9083,0.59,648.07,clothing,11.78,jeans
1098,0.6,703.89,furniture,17.1,bed
2961,0.6,636.95,furniture,19.46,press
4691,0.6,619.57,clothing,11.64,polo
5772,0.6,180.13,furniture,4.51,cot
8193,0.6,879.72,food,1.4,bread
8589,0.6,264.27,food,17.35,beef
1051,0.61,232.86,clothing,4.01,socks
1777,0.61,844.86,clothing,19.52,socks
